,p,noise_p,noise_y,n_samples,n_trials,y1_z1_pns,y1_z1_pn,y1_z1_ps,y1_z2_pns,y1_z2_pn,y1_z2_ps,y1_z1*z2_pns,y1_z1*z2_pn,y1_z1*z2_ps,cond_pns_y1_z1,cond_pns_y1_z2,y2_z1_pns,y2_z1_pn,y2_z1_ps,y2_z2_pns,y2_z2_pn,y2_z2_ps,y2_z1*z2_pns,y2_z1*z2_pn,y2_z1*z2_ps,cond_pns_y2_z1,cond_pns_y2_z2,z1_z2_corr
0,0.4,0.0,0.2,10000,100,0.5940955429618424,0.7441945416515157,0.7465492921217273,0.5940955429618424,0.7441945416515157,0.7465492921217273,0.5940955429618424,0.7441945416515157,0.7465492921217273,,,0.6130797664955152,0.7585115040807114,0.7617668859445936,0.6130797664955152,0.7585115040807114,0.7617668859445936,0.6130797664955152,0.7585115040807114,0.7617668859445936,,,
0,0.4,0.0,0.2,10000,100,0.6008631164530124,0.7528294416535695,0.7485307586429542,0.6008631164530124,0.7528294416535695,0.7485307586429542,0.6008631164530124,0.7528294416535695,0.7485307586429542,,,0.6052816395188482,0.7479994911481759,0.7603266652445774,0.6052816395188482,0.7479994911481759,0.7603266652445774,0.6052816395188482,0.7479994911481759,0.7603266652445774,,,0.9999999999999999
0,0.4,0.0,0.2,10000,100,0.5955027411665441,0.752548148918524,0.7405022630210931,0.5955027411665441,0.752548148918524,0.7405022630210931,0.5955027411665441,0.752548148918524,0.7405022630210931,,,0.59599236879185,0.7459159149786198,0.7478088359998623,0.59599236879185,0.7459159149786198,0.7478088359998623,0.59599236879185,0.7459159149786198,0.7478088359998623,,,1.0
0,0.4,0.0,0.2,10000,100,0.6075788008865844,0.7616627224852368,0.7502100816293833,0.6075788008865844,0.7616627224852368,0.7502100816293833,0.6075788008865844,0.7616627224852368,0.7502100816293833,,,0.6044222636503023,0.7570092566796678,0.7499148840924631,0.6044222636503023,0.7570092566796678,0.7499148840924631,0.6044222636503023,0.7570092566796678,0.7499148840924631,,,0.9999999999999999
0,0.4,0.0,0.2,10000,100,0.5850642847695169,0.7328001284763089,0.7437237313747164,0.5850642847695169,0.7328001284763089,0.7437237313747164,0.5850642847695169,0.7328001284763089,0.7437237313747164,,,0.5965584096571569,0.7457462617001793,0.7488711951015374,0.5965584096571569,0.7457462617001793,0.7488711951015374,0.5965584096571569,0.7457462617001793,0.7488711951015374,,,1.0
0,0.4,0.0,0.2,10000,100,0.6106353108302679,0.7590907665609056,0.757419020039931,0.6106353108302679,0.7590907665609056,0.757419020039931,0.6106353108302679,0.7590907665609056,0.757419020039931,,,0.6046972281082139,0.7557288730021812,0.7516003699336369,0.6046972281082139,0.7557288730021812,0.7516003699336369,0.6046972281082139,0.7557288730021812,0.7516003699336369,,,1.0
0,0.4,0.0,0.2,10000,100,0.6036209752562377,0.7473402550791515,0.7583857697998472,0.6036209752562377,0.7473402550791515,0.7583857697998472,0.6036209752562377,0.7473402550791515,0.7583857697998472,,,0.5997402449157289,0.7554492029124834,0.7442288133150506,0.5997402449157289,0.7554492029124834,0.7442288133150506,0.5997402449157289,0.7554492029124834,0.7442288133150506,,,1.0
0,0.4,0.0,0.2,10000,100,0.61743079972476,0.764845731883321,0.762101311220962,0.61743079972476,0.764845731883321,0.762101311220962,0.61743079972476,0.764845731883321,0.762101311220962,,,0.6048868960619401,0.7493069035936726,0.7583599814540448,0.6048868960619401,0.7493069035936726,0.7583599814540448,0.6048868960619401,0.7493069035936726,0.7583599814540448,,,1.0
0,0.4,0.0,0.2,10000,100,0.6138096577055208,0.7574308589513807,0.7639903688228724,0.6138096577055208,0.7574308589513807,0.7639903688228724,0.6138096577055208,0.7574308589513807,0.7639903688228724,,,0.6058052632472466,0.751273898776601,0.757792188039462,0.6058052632472466,0.751273898776601,0.757792188039462,0.6058052632472466,0.751273898776601,0.757792188039462,,,1.0
0,0.4,0.0,0.2,10000,100,0.5943992631784493,0.744672919201036,0.746547545458312,0.5943992631784493,0.744672919201036,0.746547545458312,0.5943992631784493,0.744672919201036,0.746547545458312,,,0.5954870679687224,0.7481425227947175,0.7447935877222486,0.5954870679687224,0.7481425227947175,0.7447935877222486,0.5954870679687224,0.7481425227947175,0.7447935877222486,,,0.9999999999999999
